cliente;prodotto;giorno;quantity;amount
C000307;M000228;13/07/2024;98;4336.97
C000228;M000823;09/10/2023;47;6150.03
C000156;M000786;27/09/2024;81;32476.01
C000361;M000474;19/10/2024;95;47381.95
C000101;M000509;22/03/2024;73;32399.44
C000976;M000326;17/04/2023;96;38086.93
C000019;M000453;07/08/2023;87;6505.63
C000449;M000081;02/08/2023;41;18521.47
C000363;M000689;05/10/2023;77;32291.44
C000393;M000257;29/09/2023;16;641.38
C000418;M000149;04/04/2023;72;9048.63
C000611;M000060;26/06/2023;39;1493.79
C000123;M000242;03/03/2024;31;15067.04
C000293;M000774;20/02/2024;30;405.23
C000669;M000026;09/08/2023;14;1491.64
C000695;M000910;12/05/2023;65;13316.1
C000157;M000713;23/01/2024;56;16540.89
C000802;M000837;09/04/2024;14;6486.82
C000402;M000365;24/09/2023;93;16692.2
C000814;M000452;25/03/2024;36;11410.93
C000613;M000027;17/03/2023;25;11065.96
C000077;M000828;02/05/2024;28;13411.61
C000172;M000391;03/06/2023;37;12199.34
C000727;M000215;27/01/2024;46;264.04
C000609;M000056;03/08/2023;23;3022.24
C000088;M000965;05/12/2023;69;24898.07
C000828;M000138;08/03/2024;41;8151.3
C000471;M000820;24/11/2024;85;28345.44
C000153;M000669;15/08/2023;77;16143.49
C000913;M000247;15/10/2023;45;11468.42
C000445;M000393;17/08/2023;84;12152.58
C000714;M000329;10/09/2024;27;4810.17
C000132;M000637;25/06/2023;23;5828.69
C000519;M000984;04/08/2023;33;8808.69
C000897;M000059;19/06/2024;66;5137.36
C000377;M000723;27/02/2024;79;35900.99
C000343;M000341;11/10/2023;26;5986.27
C000216;M000787;13/05/2024;61;8076.56
C000659;M000341;23/10/2024;8;251.76
C000140;M000677;22/11/2023;72;12101.86
C000762;M000935;23/12/2023;14;5802.05
C000803;M000444;05/05/2024;6;2619.21
C000787;M000467;21/09/2024;12;4584.33
C000737;M000911;17/11/2023;100;22645.82
C000719;M000552;30/06/2023;14;1873.41
C000794;M000204;30/12/2023;75;35556.58
C000221;M000347;10/05/2024;86;14271.35
C000422;M000108;28/04/2024;30;2437.93
C000926;M000321;21/06/2024;85;42286.57
C000022;M000300;11/03/2024;46;19421.01
C000927;M000103;25/12/2024;92;24728.61
C000542;M000049;12/07/2023;53;9939.8
C000430;M000096;06/12/2024;18;6642.98
C000043;M000152;03/12/2024;56;14896.61
C000539;M000122;11/11/2024;48;6139.2
C000683;M000369;05/01/2023;66;19936.99
C000131;M000014;08/11/2023;100;17009.99
C000898;M000067;02/07/2024;23;5363.26
C000011;M000828;05/06/2024;72;20226.44
C000322;M000609;25/12/2023;16;7090.9
C000403;M000147;16/01/2023;54;12928.98
C000116;M000224;24/01/2023;89;41762.5
C000064;M000358;10/08/2024;95;19191.59
C000708;M000744;14/10/2024;72;3892.76
C000005;M000785;29/06/2023;19;3545.17
C000581;M000009;26/03/2023;46;3599.18
C000503;M000049;24/02/2023;18;8896.61
C000472;M000056;12/02/2023;92;25135.05
C000124;M000283;27/10/2023;25;588.3
C000294;M000214;01/07/2023;86;6029.21
C000051;M000464;03/09/2024;83;12384.02
C000978;M000695;31/12/2024;83;8738.64
C000270;M000536;09/04/2023;13;3590.47
C000302;M000386;25/03/2024;27;9989.69
C000663;M000435;24/11/2024;26;6289.66
C000333;M000036;23/06/2024;65;16392.36
C000129;M000551;18/08/2024;29;10101.0
C000528;M000070;21/04/2024;26;6531.94
C000186;M000494;07/03/2024;86;22225.05
C000972;M000838;10/07/2024;94;20054.81
C000422;M000241;14/12/2024;3;1375.15
C000891;M000262;09/06/2023;45;9163.86
C000720;M000522;27/01/2024;97;45097.31
C000851;M000746;04/02/2023;53;6596.42
C000656;M000926;06/09/2023;44;6170.44
C000010;M000791;26/10/2024;32;13980.24
C000846;M000686;28/11/2024;69;28007.51
C000329;M000123;11/03/2024;37;10437.69
C000267;M000506;05/08/2023;37;8311.64
C000836;M000711;06/09/2024;32;12697.08
C000679;M000030;06/07/2023;82;27224.48
C000060;M000840;01/11/2023;73;22740.42
C000442;M000836;14/05/2023;60;9297.12
C000713;M000606;17/11/2023;57;960.85
C000661;M000683;14/10/2024;37;7330.16
C000149;M000483;03/05/2023;97;17792.03
C000385;M000847;26/05/2023;77;21432.88
C000868;M000756;25/12/2023;76;5991.04
C000757;M000482;20/06/2024;80;4602.46
C000397;M000166;06/02/2023;37;17239.38
C000036;M000318;09/12/2024;41;5149.06
C000062;M000434;17/09/2023;3;516.44
C000464;M000509;02/09/2024;68;19924.96
C000987;M000243;17/03/2024;24;197.4
C000487;M000497;19/08/2024;79;5479.19
C000257;M000940;13/02/2023;82;38048.24
C000750;M000383;28/07/2024;65;661.59
C000435;M000019;02/11/2023;60;13518.97
C000902;M000798;20/02/2024;76;26828.32
C000119;M000392;04/11/2024;88;32257.27
C000215;M000886;11/11/2024;2;705.14
C000851;M000998;21/02/2023;59;19203.24
C000127;M000411;29/05/2024;90;30051.16
C000029;M000370;24/07/2024;33;14990.61
C000028;M000812;29/04/2023;40;11703.5
C000707;M000018;04/05/2023;44;8116.01
C000265;M000160;01/06/2024;80;16488.67
C000539;M000317;05/02/2023;92;21103.2
C000460;M000949;26/05/2023;18;6040.52
C000181;M000625;11/07/2024;73;24078.49
C000995;M000664;21/01/2024;30;1193.63
C000768;M000456;21/11/2024;91;457.12
C000323;M000779;14/07/2023;100;35138.93
C000001;M000279;20/11/2024;17;6452.91
C000151;M000838;31/07/2024;31;10195.81
C000607;M000706;07/11/2023;1;369.55
C000875;M000046;18/02/2023;99;29894.79
C000106;M000022;23/04/2023;66;13322.67
C000620;M000520;27/01/2023;83;13907.75
C000439;M000166;03/01/2023;17;3187.9
C000004;M000062;04/09/2024;97;42930.45
C000314;M000232;13/05/2023;66;20943.73
C000564;M000982;12/06/2024;99;31248.25
C000537;M000357;26/10/2024;85;21564.49
C000584;M000710;20/02/2024;31;12784.4
C000893;M000609;22/04/2024;13;2252.43
C000452;M000759;20/01/2024;66;20408.35
C000713;M000530;26/06/2024;90;28471.03
C000055;M000084;21/09/2023;72;16341.02
C000945;M000440;11/12/2024;27;2229.88
C000529;M000289;14/07/2023;56;23652.57
C000630;M000922;10/03/2023;53;23039.92
C000729;M000727;28/06/2024;87;42246.94
C000997;M000545;13/02/2023;92;33859.19
C000439;M000521;06/12/2024;52;22972.42
C000293;M000928;29/09/2023;68;23463.89
C000531;M000874;18/02/2023;38;3033.61
C000260;M000895;24/02/2024;40;7774.43
C000130;M000615;28/10/2024;52;4338.74
C000472;M000681;14/01/2024;66;30294.23
C000190;M000745;13/09/2024;12;5365.65
C000503;M000075;02/04/2024;22;945.49
C000804;M000458;27/06/2024;45;2637.72
C000455;M000911;24/08/2023;76;8910.7
C000752;M000128;01/06/2024;80;4361.76
C000843;M000969;30/05/2023;76;33986.33
C000015;M000291;27/02/2023;90;22833.57
C000508;M000703;11/02/2024;55;10190.68
C000156;M000408;27/09/2023;23;477.38
C000969;M000704;14/01/2024;13;5501.28
C000205;M000344;10/08/2024;23;9169.53
C000354;M000482;04/09/2023;60;5789.1
C000197;M000388;18/03/2024;88;34817.1
C000541;M000761;03/11/2024;84;23825.14
C000365;M000906;21/06/2024;3;324.95
C000029;M000870;27/05/2023;66;8492.73
C000920;M000950;03/07/2024;6;1349.72
C000402;M000242;24/12/2023;29;10150.3
C000237;M000431;20/02/2023;24;1189.53
C000302;M000982;18/08/2023;67;3482.57
C000560;M000035;31/03/2024;2;442.91
C000884;M000818;07/11/2024;13;6305.45
C000205;M000700;08/08/2023;1;348.12
C000979;M000773;09/11/2024;75;26693.18
C000135;M000882;03/08/2023;82;22271.31
C000623;M000824;24/04/2023;94;8857.45
C000065;M000561;24/02/2023;67;27161.57
C000788;M000581;19/10/2023;59;13958.14
C000713;M000052;30/04/2024;73;19946.03
C000925;M000139;01/03/2024;48;16404.04
C000446;M000577;03/01/2024;36;4394.29
C000229;M000711;18/11/2024;33;3900.87
C000942;M000826;12/07/2024;77;15490.38
C000822;M000788;30/05/2024;29;4963.84
C000246;M000061;21/11/2023;1;471.4
C000780;M000558;26/06/2023;12;5172.51
C000359;M000141;28/05/2023;51;11343.51
C000386;M000453;24/03/2023;46;4874.06
C000272;M000431;23/11/2024;84;14758.55
C000428;M000924;21/03/2024;77;23866.12
C000668;M000696;17/03/2024;15;4174.34
C000033;M000213;24/05/2024;6;1571.59
C000436;M000751;15/03/2023;55;25749.61
C000451;M000973;02/05/2023;28;1747.23
C000271;M000131;08/10/2023;30;11789.92
C000259;M000729;25/07/2023;88;42415.45
C000217;M000467;11/05/2023;13;3120.75
C000548;M000724;20/09/2023;44;10023.59
C000345;M000076;30/05/2024;12;594.97
C000761;M000858;25/05/2024;70;22302.05
C000198;M000208;21/11/2024;24;7774.73
C000272;M000239;10/12/2024;16;804.14
C000394;M000179;10/12/2023;6;70.66
C000100;M000227;04/04/2023;33;11261.24
C000035;M000698;28/01/2024;60;4051.28
C000543;M000357;03/08/2024;63;1885.22
C000482;M000723;26/02/2024;27;7711.2
C000129;M000411;13/08/2024;37;3016.7
C000046;M000866;07/10/2024;68;31380.34
C000391;M000500;17/01/2023;8;2030.54
C000892;M000890;16/08/2023;60;24924.4
C000946;M000389;25/11/2024;62;8422.02
C000022;M000141;29/05/2023;7;3454.38
C000694;M000871;13/10/2023;67;29809.44
C000100;M000217;18/09/2023;79;18134.15
C000726;M000854;27/02/2024;1;402.16
C000043;M000095;12/10/2023;72;32979.41
C000844;M000313;01/05/2023;13;1101.01
C000267;M000880;22/04/2023;91;23182.24
C000691;M000199;09/04/2024;92;34383.5
C000984;M000202;09/11/2024;81;34230.85
C000694;M000732;27/02/2024;55;2128.05
C000815;M000542;21/10/2024;23;8632.06
C000737;M000818;09/10/2024;32;7680.36
C000642;M000441;16/04/2024;88;40565.26
C000612;M000003;29/07/2024;64;28824.91
C000722;M000527;09/08/2024;79;28887.57
C000295;M000795;29/06/2023;65;17460.85
C000655;M000351;01/04/2023;91;4435.78
C000722;M000318;20/05/2023;42;7251.93
C000253;M000646;08/05/2024;65;5013.97
C000544;M000766;10/07/2024;32;12096.48
C000959;M000988;25/11/2024;64;8375.58
C000433;M000745;25/11/2023;47;20280.86
C000930;M000333;02/10/2024;6;1103.41
C000299;M000446;02/07/2024;77;22668.75
C000835;M000011;07/05/2023;6;647.95
C000041;M000216;15/04/2024;52;9538.31
C000170;M000780;06/12/2023;41;7113.36
C000138;M000585;24/07/2024;66;28066.69
C000700;M000225;20/05/2023;3;607.29
C000988;M000250;25/03/2024;67;30873.68
C000088;M000594;13/11/2023;84;39368.6
C000396;M000567;02/11/2023;2;761.24
C000717;M000317;23/11/2023;10;3156.21
C000844;M000510;01/08/2024;49;4780.1
C000329;M000547;19/04/2024;58;1952.21
C000804;M000942;30/01/2023;96;9306.69
C000096;M000329;30/08/2023;15;7384.54
C000449;M000377;20/09/2024;81;36548.36
C000935;M000513;11/12/2024;70;4143.74
C000152;M000270;24/07/2024;52;6656.18
C000628;M000600;23/11/2023;83;3432.06
C000627;M000306;08/01/2023;68;5799.23
C000386;M000848;29/02/2024;25;7271.22
C000424;M000068;29/05/2024;80;12186.12
C000766;M000874;09/01/2024;44;14697.64
C000157;M000407;26/11/2024;39;13451.45
C000249;M000911;09/08/2023;78;4532.06
C000358;M000849;29/01/2024;76;29075.86
C000817;M000914;05/08/2024;7;1976.95
C000575;M000214;07/07/2024;92;42131.42
C000570;M000591;19/06/2023;15;4284.2
C000247;M000350;28/02/2023;21;7424.03
C000615;M000058;22/04/2024;14;1753.44
C000937;M000532;01/10/2024;45;14835.96
C000427;M000373;03/12/2023;64;5020.93
C000471;M000539;08/09/2023;75;35318.42
C000828;M000223;13/03/2024;34;12019.24
C000329;M000415;05/03/2024;86;31393.32
C000689;M000423;04/04/2023;63;7455.61
C000804;M000871;13/04/2023;94;31091.73
C000200;M000774;25/07/2023;69;31695.04
C000408;M000077;13/03/2024;10;3247.65
C000309;M000376;05/04/2023;61;29190.91
C000964;M000477;03/04/2023;100;23299.23
C000192;M000799;13/06/2023;67;22195.36
C000381;M000856;30/06/2024;29;14388.2
C000249;M000075;28/04/2024;40;19346.51
C000966;M000728;05/10/2024;9;2478.08
C000737;M000030;11/11/2023;89;1537.63
C000633;M000485;28/07/2023;38;17514.14
C000461;M000648;23/10/2024;22;3971.02
C000453;M000401;08/01/2023;82;37294.14
C000372;M000650;22/09/2024;66;23954.84
C000235;M000749;25/05/2023;35;7115.86
C000582;M000351;19/01/2023;83;23122.29
C000972;M000010;19/02/2024;67;27795.96
C000691;M000426;20/07/2024;54;6913.94
C000230;M000228;22/05/2023;98;31298.55
C000760;M000044;24/03/2024;44;11186.25
C000581;M000087;24/02/2023;73;22397.19
C000055;M000029;08/04/2023;72;13641.56
C000015;M000516;12/07/2024;70;33006.82
C000558;M000627;19/12/2024;72;15494.03
C000634;M000922;01/04/2024;68;6836.02
C000638;M000004;29/02/2024;23;11475.22
C000425;M000297;10/11/2023;87;12619.88
C000613;M000748;14/06/2024;83;37043.3
C000362;M000925;02/04/2023;79;27797.54
C000844;M000700;23/05/2024;50;24984.4
C000076;M000277;13/02/2024;12;1925.61
C000656;M000701;17/01/2023;100;34982.61
C000474;M000576;13/01/2024;17;6897.44
C000832;M000670;21/03/2023;60;4444.55
C000993;M000524;14/12/2023;68;13916.51
C000313;M000765;16/05/2023;55;10787.02
C000139;M000989;20/08/2023;5;896.48
C000539;M000096;29/11/2024;99;10504.94
C000376;M000199;23/05/2023;32;7934.51
C000464;M000996;30/12/2024;43;4312.92
C000354;M000086;27/11/2023;92;39038.99
C000440;M000195;22/08/2023;96;9807.05
C000078;M000334;24/11/2023;69;18416.34
C000242;M000255;02/10/2023;3;346.03
C000304;M000502;19/02/2023;81;15173.11
C000986;M000044;20/10/2023;77;5628.98
C000926;M000847;04/09/2024;100;34807.94
C000703;M000945;15/01/2023;65;14845.91
C000407;M000913;10/11/2024;89;23044.43
C000445;M000486;06/08/2024;85;31005.63
C000797;M000983;31/03/2024;85;21887.95
C000670;M000072;02/06/2024;30;12973.31
C000594;M000268;18/05/2024;96;6636.69
C000469;M000899;28/09/2023;62;25984.69
C000444;M000198;18/07/2024;39;15770.17
C000301;M000835;06/06/2024;60;6315.1
C000256;M000576;13/02/2024;5;520.35
C000259;M000625;23/10/2024;86;2377.72
C000591;M000913;20/10/2024;9;4273.08
C000801;M000423;21/12/2024;96;35420.25
C000510;M000525;18/08/2023;36;16365.08
C000449;M000768;14/04/2024;90;8514.17
C000019;M000124;24/12/2024;99;17520.94
C000102;M000785;08/03/2023;12;281.73
C000151;M000769;26/12/2023;92;45942.69
C000740;M000239;03/06/2023;47;8719.12
C000564;M000192;12/03/2023;56;2402.77
C000457;M000401;11/08/2023;37;4610.31
C000574;M000236;15/12/2024;76;12078.56
C000263;M000279;18/09/2024;69;30907.72
C000787;M000140;22/08/2024;41;18260.03
C000349;M000746;02/09/2023;18;1248.74
C000745;M000605;25/10/2023;88;15681.45
C000224;M000610;14/10/2023;52;15258.29
C000248;M000549;08/12/2024;91;28196.88
C000108;M000398;27/12/2023;92;31884.82
C000245;M000528;20/03/2023;83;8057.41
C000102;M000589;08/01/2024;50;5219.94
C000043;M000427;14/03/2024;62;24947.39
C000932;M000295;25/08/2024;16;6698.02
C000392;M000003;03/12/2024;28;5058.62
C000590;M000360;03/03/2023;76;18372.49
C000550;M000848;18/03/2024;86;41429.04
C000041;M000280;14/04/2024;100;46938.71
C000125;M000416;08/05/2024;1;141.43
C000936;M000120;13/02/2023;99;38685.16
C000636;M000291;02/03/2023;39;17193.46
C000525;M000245;19/01/2024;66;13989.67
C000567;M000341;05/08/2024;94;17518.06
C000822;M000711;10/09/2023;55;504.38
C000834;M000017;16/04/2024;4;628.1
C000168;M000712;19/04/2024;82;40522.76
C000653;M000758;19/01/2024;93;45701.98
C000107;M000268;28/03/2023;56;7294.64
C000052;M000008;22/01/2023;59;19848.6
C000533;M000273;09/08/2023;29;4505.8
C000839;M000194;30/12/2023;27;7275.59
C000922;M000208;17/02/2024;76;30548.75
C000364;M000977;23/06/2024;86;2762.11
C000613;M000112;08/08/2023;37;7779.01
C000831;M000963;11/01/2023;72;13606.19
C000488;M000782;28/01/2024;13;429.25
C000285;M000835;30/04/2023;23;8298.4
C000665;M000832;31/07/2024;35;6614.6
C000997;M000042;24/09/2023;56;23276.74
C000507;M000562;12/05/2023;62;18847.41
C000393;M000936;10/05/2023;68;14006.66
C000923;M000865;24/07/2024;42;2416.09
C000482;M000887;18/06/2023;80;36523.23
C000048;M000754;19/11/2023;92;40009.11
C000396;M000003;01/10/2023;90;19690.02
C000531;M000644;14/04/2024;27;903.43
C000203;M000602;10/05/2024;81;1210.89
C000510;M000115;12/09/2024;73;34790.07
C000341;M000866;01/04/2023;85;28406.07
C000529;M000232;19/06/2024;93;12562.21
C000435;M000089;15/05/2024;57;14978.98
C000802;M000320;21/05/2023;25;7501.69
C000530;M000351;09/09/2023;22;3845.61
C000553;M000219;14/01/2023;13;5433.67
C000673;M000543;12/08/2023;46;8927.44
C000935;M000724;12/06/2023;15;2953.84
C000726;M000268;30/12/2024;29;11076.78
C000408;M000579;17/09/2023;58;6783.98
C000414;M000843;26/02/2024;78;32696.4
C000596;M000984;01/12/2024;16;1821.68
C000112;M000628;07/12/2023;80;16689.15
C000236;M000429;23/03/2023;56;27176.41
C000430;M000717;27/12/2024;78;27309.02
C000940;M000492;23/12/2023;96;4627.78
C000033;M000930;12/10/2023;53;12852.94
C000109;M000006;16/02/2024;92;3428.68
C000285;M000890;16/01/2024;56;11300.12
C000705;M000613;05/10/2023;75;30998.85
C000890;M000233;23/05/2023;4;157.02
C000970;M000144;13/01/2023;44;12943.01
C000314;M000209;26/03/2023;31;12865.62
C000504;M000951;17/07/2024;43;5290.24
C000016;M000419;29/07/2024;33;5261.47
C000996;M000923;06/09/2023;80;26144.88
C000825;M000037;16/04/2024;31;4055.6
C000919;M000172;29/04/2023;52;22625.54
C000666;M000302;23/11/2024;31;15252.62
C000816;M000011;06/09/2023;32;8461.97
C000994;M000984;17/12/2024;67;31171.98
C000667;M000530;01/06/2023;38;11837.32
C000031;M000390;01/02/2024;37;3507.72
C000595;M000815;23/11/2024;17;268.35
C000646;M000037;27/01/2023;11;4644.53
C000886;M000644;24/08/2024;55;25932.63
C000324;M000441;03/11/2024;44;17344.46
C000412;M000044;25/11/2023;96;1292.67
C000207;M000868;10/08/2024;93;21597.31
C000136;M000943;30/12/2023;57;3640.01
C000067;M000692;12/06/2024;95;5633.59
C000154;M000262;27/08/2023;18;2010.75
C000625;M000862;23/07/2023;73;25332.6
C000975;M000532;24/06/2024;12;4053.37
C000685;M000421;03/06/2023;53;1976.14
C000500;M000668;26/02/2024;37;5828.32
C000191;M000482;09/02/2023;70;20596.7
C000330;M000132;02/02/2023;30;9284.01
C000494;M000664;13/01/2024;4;1560.35
C000799;M000578;22/03/2024;41;12228.91
C000942;M000351;08/02/2023;47;9432.19
C000340;M000211;31/01/2023;71;30967.43
C000366;M000640;31/08/2024;83;7663.58
C000705;M000334;09/12/2024;2;579.64
C000817;M000832;28/08/2023;73;17921.19
C000155;M000804;03/05/2023;28;8090.3
C000718;M000564;03/04/2023;50;1974.8
C001000;M000002;26/02/2023;22;6614.87
C000616;M000944;23/07/2024;86;35575.58
C000184;M000814;12/02/2023;79;20155.33
C000046;M000263;06/07/2023;58;4339.11
C000815;M000739;01/10/2024;15;1969.31
C000876;M000021;09/07/2023;24;11123.23
C000090;M000458;29/01/2023;24;7142.29
C000743;M000555;15/08/2023;9;4400.18
C000306;M000419;27/05/2024;54;21177.67
C000169;M000872;17/09/2024;24;9426.09
C000770;M000046;23/10/2024;46;22620.74
C000188;M000346;04/02/2023;90;16339.69
C000583;M000471;27/12/2023;59;15254.87
C000772;M000189;18/05/2023;91;31777.99
C000001;M000048;20/05/2024;32;3442.56
C000961;M000655;23/12/2023;52;23760.16
C000918;M000788;20/11/2024;81;27862.76
C000808;M000522;04/05/2024;3;107.1
C000464;M000173;08/11/2023;7;1936.18
C000896;M000772;20/07/2024;93;14091.02
C000412;M000052;11/04/2024;57;12896.97
C000155;M000564;18/09/2023;51;3917.33
C000763;M000344;03/07/2024;31;2311.38
C000143;M000137;02/07/2024;25;7067.05
C000528;M000100;28/06/2024;39;5688.79
C000015;M000589;22/06/2023;94;27995.14
C000635;M000137;06/10/2023;96;45651.97
C000923;M000879;25/01/2023;11;1930.35
C000562;M000235;24/11/2024;86;5539.18
C000002;M000280;31/01/2024;99;40692.55
C000441;M000474;30/08/2024;77;20836.92
C000902;M000979;12/05/2024;83;17087.82
C000986;M000712;09/12/2023;77;15064.13
C000277;M000100;05/10/2023;72;16268.09
C000699;M000400;23/08/2024;10;1597.66
C000375;M000184;23/12/2024;34;9713.14
C000171;M000494;29/03/2023;17;1018.43
C000980;M000706;04/07/2024;87;12548.13
C000241;M000927;12/08/2024;63;25249.04
C000819;M000002;06/08/2024;39;8894.67
C000703;M000657;10/11/2023;65;16526.08
C000319;M000500;11/04/2024;64;1057.32
C000099;M000746;02/11/2024;15;1377.35
C000232;M000692;22/02/2024;69;9275.27
C000010;M000825;18/03/2023;78;38334.35
C000199;M000661;18/06/2023;36;9389.85
C000424;M000829;11/04/2023;88;1796.26
C000398;M000350;26/09/2023;19;3055.65
C000512;M000560;13/03/2023;48;11291.19
C000380;M000697;19/04/2023;32;663.85
C000974;M000390;07/04/2024;23;3852.04
C000554;M000104;13/04/2024;76;9480.08
C000547;M000658;21/11/2023;14;4374.77
C000393;M000352;25/08/2024;66;19355.55
C000413;M000838;10/06/2024;3;1380.31
C000576;M000602;22/06/2023;13;2116.45
C000877;M000700;29/07/2023;89;35122.39
C000516;M000368;13/01/2024;33;1123.52
C000509;M000758;04/12/2023;59;4210.13
C000890;M000016;08/09/2023;52;21940.07
C000164;M000231;08/12/2023;10;3285.64
C000589;M000388;22/06/2024;28;13218.08
C000059;M000239;06/03/2024;71;6906.65
C000028;M000307;30/06/2024;60;1631.05
C000312;M000936;04/04/2023;56;1956.93
C000164;M000296;11/10/2023;34;10543.13
C000230;M000369;17/10/2023;27;12131.91
C000453;M000206;17/08/2024;99;24076.1
C000432;M000767;06/01/2024;12;3031.53
C000724;M000717;28/07/2023;69;1496.17
C000887;M000807;04/02/2023;26;11401.28
C000927;M000227;22/09/2023;61;22462.12
C000651;M000823;08/03/2023;38;3087.97
C000108;M000710;05/09/2023;15;3053.65
C000969;M000030;27/07/2024;85;2022.8
C000680;M000390;17/11/2023;75;14736.39
C000354;M000024;17/12/2023;12;943.44
C000723;M000833;30/09/2023;33;4148.82
C000489;M000635;04/12/2024;13;3239.7
C000436;M000798;27/03/2024;65;28342.84
C000761;M000963;10/01/2024;8;794.75
C000015;M000849;21/12/2023;17;6373.51
C000573;M000946;25/07/2024;82;35128.13
C000821;M000705;10/06/2023;70;6203.36
C000500;M000228;23/04/2023;99;29022.56
C000363;M000671;22/04/2023;36;9640.42
C000809;M000607;05/09/2023;23;10687.55
C000901;M000386;13/02/2023;55;9652.2
C000220;M000436;05/10/2023;38;555.02
C000494;M000257;18/06/2023;62;20138.39
C000083;M000527;08/08/2024;20;701.65
C000456;M000980;27/04/2024;20;2035.34
C000376;M000958;13/07/2024;35;12283.76
C000422;M000243;02/12/2023;41;4179.2
C000578;M000367;21/09/2023;7;734.74
C000815;M000908;27/11/2024;72;27254.7
C000168;M000456;14/11/2023;26;7508.46
C000672;M000425;02/11/2024;1;272.72
C000661;M000452;19/08/2023;99;36206.11
C000274;M000163;22/04/2024;39;10645.29
C000172;M000281;06/10/2024;24;1681.37
C000673;M000143;19/02/2023;31;15166.04
C000932;M000923;19/11/2023;87;30449.8
C000742;M000264;04/06/2024;25;12267.49
C000859;M000758;16/07/2024;29;10997.6
C000824;M000981;16/06/2023;77;13730.37
C000746;M000842;04/02/2023;56;12062.64
C000442;M000482;14/09/2024;13;2346.33
C000606;M000789;04/01/2024;72;11065.27
C000714;M000805;07/09/2024;47;21188.76
C000960;M000441;05/05/2023;85;40420.1
C000584;M000947;26/03/2024;17;5442.87
C000184;M000528;29/09/2024;17;3064.25
C000513;M000042;30/07/2024;9;278.61
C000710;M000108;11/05/2024;5;1573.77
C000064;M000221;14/11/2024;39;9500.5
C000904;M000441;07/10/2023;97;20472.41
C000266;M000727;22/03/2023;67;30516.91
C000376;M000366;19/10/2023;2;52.05
C000879;M000929;03/09/2023;7;1085.19
C000906;M000450;01/12/2023;71;12773.92
C000551;M000799;03/11/2024;81;16114.64
C000767;M000794;31/01/2023;44;4432.87
C000724;M000337;17/10/2024;84;23673.84
C000756;M000696;12/01/2023;78;12952.87
C000218;M000329;10/02/2023;71;32627.03
C000181;M000499;16/03/2023;50;18549.01
C000163;M000233;08/11/2024;29;1740.81
C000801;M000761;07/04/2024;24;9785.71
C000863;M000446;08/09/2024;85;14196.82
C000088;M000111;17/04/2024;98;43739.92
C000072;M000836;11/10/2024;83;28690.84
C000918;M000902;27/04/2023;92;27117.42
C000970;M000648;06/10/2023;100;25437.52
C000584;M000449;23/05/2023;8;1172.17
C000025;M000791;07/04/2023;48;9686.74
C000546;M000220;24/10/2024;6;885.79
C000266;M000094;21/11/2023;40;1731.73
C000142;M000790;18/10/2023;92;7040.39
C000729;M000967;10/12/2024;97;30786.22
C000324;M000012;20/08/2023;34;5483.51
C000751;M000907;01/05/2024;2;691.87
C000621;M000646;18/07/2023;27;7530.49
C000333;M000603;30/11/2024;26;7176.38
C000228;M000945;14/11/2024;43;5770.57
C000718;M000582;10/11/2023;50;5327.35
C000074;M000930;25/02/2023;93;22237.28
C000122;M000829;10/07/2024;68;5300.11
C000298;M000146;11/05/2023;81;11844.66
C000214;M000198;05/09/2024;61;27190.35
C000888;M000152;09/08/2024;9;2149.9
C000205;M000973;09/02/2024;69;22675.43
C000050;M000701;28/06/2024;71;10405.0
C000707;M000677;22/03/2024;55;16389.7
C000106;M000555;31/05/2024;62;3162.56
C000615;M000293;31/07/2024;39;6846.7
C000499;M000840;03/04/2023;100;37705.85
C000079;M000637;24/08/2023;98;24089.39
C000059;M000578;01/02/2023;35;14097.14
C000562;M000535;23/09/2024;54;4561.48
C000015;M000872;07/03/2024;95;14931.12
C000767;M000268;11/11/2024;89;42210.15
C000439;M000013;15/05/2024;53;6001.19
C000569;M000117;16/07/2023;92;43990.56
C000278;M000840;25/11/2023;5;2354.05
C000137;M000016;05/03/2023;14;4564.02
C000883;M000884;19/05/2023;9;3729.4
C000784;M000811;25/03/2023;82;25208.58
C000600;M000775;07/08/2023;12;256.76
C000781;M000727;20/07/2024;5;2020.46
C000645;M000728;16/03/2024;42;4480.18
C000965;M000036;07/11/2024;24;6465.65
C000309;M000708;07/10/2023;57;19899.03
C000841;M000054;01/10/2023;100;42258.79
C000403;M000679;20/09/2024;35;8650.28
C000301;M000025;13/11/2023;22;8902.18
C000780;M000204;03/10/2024;8;3081.15
C000605;M000031;15/06/2024;99;49152.51
C000583;M000085;27/05/2023;94;3010.85
C000204;M000969;27/04/2023;17;4552.78
C000366;M000857;04/09/2024;19;123.45
C000168;M000804;30/05/2024;56;24817.09
C000940;M000634;27/12/2024;87;15099.41
C000144;M000437;12/07/2024;30;5910.05
C000205;M000461;02/04/2023;37;16447.1
C000131;M000577;19/06/2023;80;3118.36
C000707;M000331;25/06/2023;56;21032.04
C000546;M000217;11/03/2023;89;7848.27
C000713;M000095;03/01/2024;68;2078.59
C000150;M000345;26/01/2023;90;3709.2
C000402;M000404;07/09/2023;3;156.79
C000242;M000860;18/09/2023;17;7194.24
C000082;M000715;27/10/2024;35;2403.73
C000015;M000706;17/08/2023;42;19388.69
C000965;M000222;19/10/2024;98;23832.24
